company_id,company_name,accrual_type,gl_account,frequency,amount,last_booked_date
techforge_saas,TechForge SaaS,Rent Expense,6200,monthly,187500.0,2025-12-31
techforge_saas,TechForge SaaS,Utilities,6300,monthly,75000.0,2025-12-31
techforge_saas,TechForge SaaS,Insurance,6400,quarterly,450000.0,2025-12-31
techforge_saas,TechForge SaaS,Professional Fees,6500,monthly,112500.0,2025-12-31
techforge_saas,TechForge SaaS,Bonus Accrual,6000,annual,2250000.0,2025-12-31
techforge_saas,TechForge SaaS,"Travel Expense Accrual - Ramos, Nelson and Fischer",7200,monthly,32866.71473203595,2025-01-05
techforge_saas,TechForge SaaS,Audit Fees Accrual - Reed Inc,6500,annual,29062.404186120144,2025-07-25
techforge_saas,TechForge SaaS,Interest Expense Accrual - Gregory-Watkins,9500,monthly,63837.463528639775,2025-11-16
techforge_saas,TechForge SaaS,"Interest Expense Accrual - Estrada, Williams and Foster",9500,monthly,19649.98814870852,2025-07-17
techforge_saas,TechForge SaaS,"Warranty Provision - Brown, Harris and Dougherty",5200,annual,62397.9420505244,2025-05-08
techforge_saas,TechForge SaaS,Contractor Fees Accrual - Duran LLC,6500,monthly,10203.003737007599,2025-01-06
techforge_saas,TechForge SaaS,Freight/Shipping Accrual - Wilson-Jimenez,5200,monthly,62738.685855888,2025-05-05
techforge_saas,TechForge SaaS,Property Tax Accrual - Thompson-James,6300,annual,15025.99363648528,2025-05-17
techforge_saas,TechForge SaaS,"Server Hosting Accrual - Hall, Hansen and Barnett",6300,monthly,71599.62583719405,2025-03-23
techforge_saas,TechForge SaaS,Marketing Campaign Accrual - Jones-Hensley,7000,quarterly,32321.595026940584,2025-03-13
techforge_saas,TechForge SaaS,Warranty Provision - Graham Group,5200,annual,36474.58731431126,2025-06-13
techforge_saas,TechForge SaaS,Equipment Maintenance - Atkins PLC,6300,quarterly,16009.546960776815,2025-04-05
techforge_saas,TechForge SaaS,Equipment Maintenance - Berry-Mckinney,6300,quarterly,62571.46986585844,2025-03-27
techforge_saas,TechForge SaaS,Software License Accrual - Roberts-Sullivan,6300,monthly,25353.104836130147,2025-11-15
techforge_saas,TechForge SaaS,Commission Accrual - Jackson-Meza,6000,monthly,52576.068510718025,2025-06-18
techforge_saas,TechForge SaaS,Legal Fees Accrual - Collier-Gillespie,6500,monthly,21739.46534975705,2025-10-06
techforge_saas,TechForge SaaS,Commission Accrual - Kim Inc,6000,monthly,51764.83074853479,2025-02-09
techforge_saas,TechForge SaaS,Interest Expense Accrual - Graham Group,9500,monthly,71536.26806103403,2025-07-09
techforge_saas,TechForge SaaS,"Legal Fees Accrual - Miller, Harrell and Reese",6500,monthly,52063.165101103856,2025-02-11
techforge_saas,TechForge SaaS,Legal Fees Accrual - Cook and Sons,6500,monthly,8694.512175955088,2025-03-22
techforge_saas,TechForge SaaS,Travel Expense Accrual - Dixon Inc,7200,monthly,48754.36353215719,2025-04-07
techforge_saas,TechForge SaaS,"Travel Expense Accrual - Hicks, Bullock and Bailey",7200,monthly,13495.040853010902,2025-02-25
techforge_saas,TechForge SaaS,"Consulting Fees Accrual - Mullen, Brewer and Hernandez",6500,monthly,72948.36773481585,2025-02-23
techforge_saas,TechForge SaaS,Warranty Provision - Thomas and Sons,5200,annual,66870.04682496274,2025-10-04
techforge_saas,TechForge SaaS,Legal Fees Accrual - Morrison Ltd,6500,monthly,9664.049070349878,2025-11-10
techforge_saas,TechForge SaaS,Contractor Fees Accrual - Thompson Ltd,6500,monthly,62232.34903281286,2025-04-03
techforge_saas,TechForge SaaS,Freight/Shipping Accrual - Marshall-Elliott,5200,monthly,58366.927636705834,2025-05-13
techforge_saas,TechForge SaaS,"Warranty Provision - Cole, Glass and Cunningham",5200,annual,29744.89658093604,2025-09-11
techforge_saas,TechForge SaaS,"Freight/Shipping Accrual - Downs, Morris and Maddox",5200,monthly,73104.88937836178,2025-03-13
techforge_saas,TechForge SaaS,Audit Fees Accrual - Hernandez-Jones,6500,annual,48385.835672084955,2025-04-23
techforge_saas,TechForge SaaS,Property Tax Accrual - Welch-Hogan,6300,annual,60888.3884182482,2025-07-07
techforge_saas,TechForge SaaS,"Consulting Fees Accrual - Brown, Romero and Collins",6500,monthly,53158.11591400469,2025-06-03
techforge_saas,TechForge SaaS,Server Hosting Accrual - Johnson-Wood,6300,monthly,25820.403563153468,2025-11-22
techforge_saas,TechForge SaaS,Property Tax Accrual - Jones-Lin,6300,annual,48877.241448582005,2025-07-19
techforge_saas,TechForge SaaS,Interest Expense Accrual - Gilbert PLC,9500,monthly,13017.322663456316,2025-06-14
techforge_saas,TechForge SaaS,Interest Expense Accrual - Ford-Spencer,9500,monthly,37040.20538349551,2025-10-18
techforge_saas,TechForge SaaS,"Software License Accrual - Huang, Cole and Pacheco",6300,monthly,22312.27781800969,2025-07-21
techforge_saas,TechForge SaaS,"Travel Expense Accrual - Lopez, Jacobs and Mason",7200,monthly,35885.57479750401,2025-04-02
techforge_saas,TechForge SaaS,Marketing Campaign Accrual - Hayes LLC,7000,quarterly,73351.24990667304,2025-12-04
techforge_saas,TechForge SaaS,"Server Hosting Accrual - Miller, Lucas and Williams",6300,monthly,50194.59523259768,2025-05-10
techforge_saas,TechForge SaaS,"Audit Fees Accrual - Kim, Gonzales and Mills",6500,annual,68027.39410944644,2025-10-12
techforge_saas,TechForge SaaS,Freight/Shipping Accrual - Cox LLC,5200,monthly,42716.06453732198,2025-04-25
techforge_saas,TechForge SaaS,Interest Expense Accrual - Ortiz-Morgan,9500,monthly,69188.56412128222,2025-05-24
techforge_saas,TechForge SaaS,"Contractor Fees Accrual - Williams, Mccoy and Cook",6500,monthly,44400.81050147657,2025-03-08
techforge_saas,TechForge SaaS,Contractor Fees Accrual - Davis-Gregory,6500,monthly,17091.588271531076,2025-05-03
techforge_saas,TechForge SaaS,Marketing Campaign Accrual - King-York,7000,quarterly,37960.08745193374,2025-02-27
techforge_saas,TechForge SaaS,"Contractor Fees Accrual - Marks, Cook and Aguilar",6500,monthly,5478.021693081923,2025-04-27
techforge_saas,TechForge SaaS,Consulting Fees Accrual - Rangel LLC,6500,monthly,15807.653951634042,2025-03-10
techforge_saas,TechForge SaaS,"Equipment Maintenance - Hale, Myers and Larson",6300,quarterly,49943.17173686677,2025-01-17
techforge_saas,TechForge SaaS,Warranty Provision - Collins Group,5200,annual,43296.388427185804,2025-02-17
techforge_saas,TechForge SaaS,"Warranty Provision - Conner, Li and Santiago",5200,annual,31756.799182752282,2025-12-17
techforge_saas,TechForge SaaS,"Freight/Shipping Accrual - Osborn, Gaines and Davis",5200,monthly,28612.859315908983,2025-05-04
techforge_saas,TechForge SaaS,"Contractor Fees Accrual - Henderson, Cox and Cox",6500,monthly,9078.239240257735,2025-11-08
techforge_saas,TechForge SaaS,Property Tax Accrual - Bean LLC,6300,annual,25792.78082549819,2025-01-04
techforge_saas,TechForge SaaS,Marketing Campaign Accrual - Lee-Cooke,7000,quarterly,71590.41640872612,2025-05-21
techforge_saas,TechForge SaaS,Interest Expense Accrual - Jones Inc,9500,monthly,67108.51056784595,2025-03-18
techforge_saas,TechForge SaaS,"Freight/Shipping Accrual - Wise, Conley and Stephenson",5200,monthly,8898.898125849248,2025-08-05
techforge_saas,TechForge SaaS,Marketing Campaign Accrual - Stanley PLC,7000,quarterly,65448.672934421054,2025-09-23
techforge_saas,TechForge SaaS,Marketing Campaign Accrual - Harper and Sons,7000,quarterly,33087.00537193419,2025-09-09
techforge_saas,TechForge SaaS,Audit Fees Accrual - White Ltd,6500,annual,25150.637297785186,2025-01-20
techforge_saas,TechForge SaaS,"Audit Fees Accrual - Lamb, Martin and Kim",6500,annual,64141.97048022791,2025-12-06
techforge_saas,TechForge SaaS,Software License Accrual - Diaz-Ball,6300,monthly,22177.05921466113,2025-04-18
