transaction_id,date,selling_entity_id,selling_entity_name,buying_entity_id,buying_entity_name,description,amount,gl_account
IC-202601-001,2026-01-09,dataanalytics_corp,DataAnalytics Corp,techforge_saas,TechForge SaaS,Management Fees,19713.18176773363,7000
IC-202601-002,2026-01-03,healthservices_plus,HealthServices Plus,dataanalytics_corp,DataAnalytics Corp,Shared Services,27509.17277812058,6500
IC-202601-003,2026-01-21,precisionmfg_inc,PrecisionMfg Inc,ecopackaging_ltd,EcoPackaging Ltd,Inventory/Supplies,76166.08571471048,5000
IC-202601-004,2026-01-16,ecopackaging_ltd,EcoPackaging Ltd,healthservices_plus,HealthServices Plus,Software Licenses,6715.82176524073,7000
IC-202601-005,2026-01-26,logisticspro,LogisticsPro,industrialsupply_co,IndustrialSupply Co,Management Fees,44928.466387737186,7000
IC-202601-006,2026-01-07,logisticspro,LogisticsPro,techforge_saas,TechForge SaaS,Shared Services,91478.56306558706,6500
IC-202601-007,2026-01-20,logisticspro,LogisticsPro,industrialsupply_co,IndustrialSupply Co,Inventory/Supplies,245613.46176924452,5000
IC-202601-008,2026-01-20,logisticspro,LogisticsPro,techforge_saas,TechForge SaaS,Software Licenses,22791.10229004013,7000
IC-202601-009,2026-01-26,healthservices_plus,HealthServices Plus,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,24863.283973487247,7000
IC-202601-010,2026-01-03,logisticspro,LogisticsPro,industrialsupply_co,IndustrialSupply Co,Shared Services,73779.29547172418,6500
IC-202601-011,2026-01-22,techforge_saas,TechForge SaaS,precisionmfg_inc,PrecisionMfg Inc,Inventory/Supplies,212939.5692240031,5000
IC-202601-012,2026-01-07,retailco,RetailCo,healthservices_plus,HealthServices Plus,Software Licenses,11634.92983362125,7000
IC-202601-013,2026-01-03,industrialsupply_co,IndustrialSupply Co,dataanalytics_corp,DataAnalytics Corp,Management Fees,22580.09902217131,7000
IC-202601-014,2026-01-21,precisionmfg_inc,PrecisionMfg Inc,logisticspro,LogisticsPro,Shared Services,73242.72001360112,6500
IC-202601-015,2026-01-21,precisionmfg_inc,PrecisionMfg Inc,ecopackaging_ltd,EcoPackaging Ltd,Inventory/Supplies,160375.9884237278,5000
IC-202601-016,2026-01-09,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Software Licenses,23522.656775464675,7000
IC-202601-017,2026-01-12,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Management Fees,12133.191707872007,7000
IC-202601-018,2026-01-12,dataanalytics_corp,DataAnalytics Corp,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,59643.1210283361,6500
IC-202601-019,2026-01-03,logisticspro,LogisticsPro,ecopackaging_ltd,EcoPackaging Ltd,Inventory/Supplies,102248.26617832467,5000
IC-202601-020,2026-01-28,ecopackaging_ltd,EcoPackaging Ltd,healthservices_plus,HealthServices Plus,Software Licenses,18316.10920921545,7000
IC-202601-021,2026-01-15,logisticspro,LogisticsPro,retailco,RetailCo,Management Fees,11993.975785401668,7000
IC-202601-022,2026-01-10,techforge_saas,TechForge SaaS,ecopackaging_ltd,EcoPackaging Ltd,Shared Services,64913.73423986763,6500
IC-202601-023,2026-01-02,ecopackaging_ltd,EcoPackaging Ltd,techforge_saas,TechForge SaaS,Inventory/Supplies,151228.64991165962,5000
IC-202601-024,2026-01-23,precisionmfg_inc,PrecisionMfg Inc,techforge_saas,TechForge SaaS,Software Licenses,23936.106021826577,7000
IC-202601-025,2026-01-23,retailco,RetailCo,healthservices_plus,HealthServices Plus,Management Fees,18929.175674437327,7000
IC-202601-026,2026-01-08,logisticspro,LogisticsPro,precisionmfg_inc,PrecisionMfg Inc,Shared Services,65235.93881875872,6500
IC-202601-027,2026-01-25,precisionmfg_inc,PrecisionMfg Inc,industrialsupply_co,IndustrialSupply Co,Inventory/Supplies,246126.0250293094,5000
IC-202601-028,2026-01-09,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Software Licenses,21670.691342185146,7000
IC-202601-029,2026-01-09,healthservices_plus,HealthServices Plus,dataanalytics_corp,DataAnalytics Corp,Management Fees,31395.152618703596,7000
IC-202601-030,2026-01-23,dataanalytics_corp,DataAnalytics Corp,techforge_saas,TechForge SaaS,Shared Services,90791.58164811143,6500
IC-202601-031,2026-01-23,techforge_saas,TechForge SaaS,logisticspro,LogisticsPro,Inventory/Supplies,90585.17714039765,5000
IC-202601-032,2026-01-07,logisticspro,LogisticsPro,retailco,RetailCo,Software Licenses,14682.350620032996,7000
IC-202601-033,2026-01-06,ecopackaging_ltd,EcoPackaging Ltd,techforge_saas,TechForge SaaS,Management Fees,35131.55978341286,7000
IC-202601-034,2026-01-23,precisionmfg_inc,PrecisionMfg Inc,logisticspro,LogisticsPro,Shared Services,41291.8243411527,6500
IC-202601-035,2026-01-23,retailco,RetailCo,techforge_saas,TechForge SaaS,Inventory/Supplies,65243.67868900964,5000
IC-202601-036,2026-01-24,logisticspro,LogisticsPro,techforge_saas,TechForge SaaS,Software Licenses,21489.500924890042,7000
IC-202601-037,2026-01-10,retailco,RetailCo,dataanalytics_corp,DataAnalytics Corp,Management Fees,29743.097546887286,7000
IC-202601-038,2026-01-24,precisionmfg_inc,PrecisionMfg Inc,dataanalytics_corp,DataAnalytics Corp,Shared Services,54961.92608789383,6500
IC-202601-039,2026-01-09,precisionmfg_inc,PrecisionMfg Inc,dataanalytics_corp,DataAnalytics Corp,Inventory/Supplies,157307.15472514206,5000
IC-202601-040,2026-01-06,logisticspro,LogisticsPro,retailco,RetailCo,Software Licenses,6049.553616588077,7000
IC-202601-041,2026-01-16,retailco,RetailCo,logisticspro,LogisticsPro,Management Fees,22820.13574694952,7000
IC-202601-042,2026-01-26,ecopackaging_ltd,EcoPackaging Ltd,healthservices_plus,HealthServices Plus,Shared Services,45793.49871095456,6500
IC-202601-043,2026-01-16,healthservices_plus,HealthServices Plus,techforge_saas,TechForge SaaS,Inventory/Supplies,171527.5989368264,5000
IC-202601-044,2026-01-02,dataanalytics_corp,DataAnalytics Corp,logisticspro,LogisticsPro,Software Licenses,20506.66453178425,7000
IC-202601-045,2026-01-22,logisticspro,LogisticsPro,industrialsupply_co,IndustrialSupply Co,Management Fees,39826.961680951135,7000
IC-202601-046,2026-01-26,dataanalytics_corp,DataAnalytics Corp,retailco,RetailCo,Shared Services,64499.01805602323,6500
IC-202601-047,2026-01-19,dataanalytics_corp,DataAnalytics Corp,retailco,RetailCo,Inventory/Supplies,75179.4707409974,5000
IC-202601-048,2026-01-05,precisionmfg_inc,PrecisionMfg Inc,healthservices_plus,HealthServices Plus,Software Licenses,23731.388498066794,7000
IC-202601-049,2026-01-08,healthservices_plus,HealthServices Plus,ecopackaging_ltd,EcoPackaging Ltd,Management Fees,42043.03680997975,7000
