account_code,account_name,debit,credit,balance,account_type,company_id,company_name,period
1000,Cash and Cash Equivalents,7091438.711094494,0.0,7091438.711094494,Asset,healthservices_plus,HealthServices Plus,2024-12
1100,Accounts Receivable,7163049.903400686,0.0,7163049.903400686,Asset,healthservices_plus,HealthServices Plus,2024-12
1150,Allowance for Doubtful Accounts,0.0,63734.14687777177,-63734.14687777177,Asset,healthservices_plus,HealthServices Plus,2024-12
1300,Prepaid Expenses,1020035.1194655722,0.0,1020035.1194655722,Asset,healthservices_plus,HealthServices Plus,2024-12
1400,"Property, Plant & Equipment",14000000.0,0.0,14000000.0,Asset,healthservices_plus,HealthServices Plus,2024-12
1450,Accumulated Depreciation,0.0,5250000.0,-5250000.0,Asset,healthservices_plus,HealthServices Plus,2024-12
1500,Intangible Assets,10500000.0,0.0,10500000.0,Asset,healthservices_plus,HealthServices Plus,2024-12
1550,Accumulated Amortization,0.0,2800000.0,-2800000.0,Asset,healthservices_plus,HealthServices Plus,2024-12
2000,Accounts Payable,0.0,1357688.7599145893,-1357688.7599145893,Liability,healthservices_plus,HealthServices Plus,2024-12
2100,Accrued Expenses,0.0,722204.3620685854,-722204.3620685854,Liability,healthservices_plus,HealthServices Plus,2024-12
2150,Accrued Payroll,0.0,925039.537910879,-925039.537910879,Liability,healthservices_plus,HealthServices Plus,2024-12
2200,Deferred Revenue,0.0,0.0,0.0,Liability,healthservices_plus,HealthServices Plus,2024-12
2300,Current Portion of Long-term Debt,0.0,49084620.55768238,-49084620.55768238,Liability,healthservices_plus,HealthServices Plus,2024-12
2400,Long-term Debt,0.0,60507415.119906485,-60507415.119906485,Liability,healthservices_plus,HealthServices Plus,2024-12
3000,Common Stock,0.0,17500000.0,-17500000.0,Equity,healthservices_plus,HealthServices Plus,2024-12
3100,Retained Earnings,0.0,-98773662.40149555,98773662.40149555,Equity,healthservices_plus,HealthServices Plus,2024-12
4100,Service Revenue,0.0,3186707.3438885882,-3186707.3438885882,Revenue,healthservices_plus,HealthServices Plus,2024-12
5300,Cost of Services,1434018.3047498646,0.0,1434018.3047498646,COGS,healthservices_plus,HealthServices Plus,2024-12
6000,Salaries and Wages,613441.1636985532,0.0,613441.1636985532,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
6100,Employee Benefits,140215.1231310979,0.0,140215.1231310979,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
6200,Rent,87634.45195693619,0.0,87634.45195693619,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
6300,Utilities,79516.44945724204,0.0,79516.44945724204,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
6400,Insurance,33517.00704515338,0.0,33517.00704515338,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
6500,Professional Fees,32392.837059910205,0.0,32392.837059910205,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
7000,Sales and Marketing,140215.1231310979,0.0,140215.1231310979,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
7100,Advertising,60361.277682638116,0.0,60361.277682638116,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
7200,Travel and Entertainment,46343.09414355417,0.0,46343.09414355417,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
8000,Research and Development,0.0,0.0,0.0,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
9000,Depreciation Expense,52580.671174161704,0.0,52580.671174161704,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
9100,Amortization Expense,52580.671174161704,0.0,52580.671174161704,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
9500,Interest Expense,76407.51838863798,0.0,76407.51838863798,Operating Expense,healthservices_plus,HealthServices Plus,2024-12
