account_code,account_name,debit,credit,balance,account_type,company_id,company_name,period
1000,Cash and Cash Equivalents,39592321.76159644,0.0,39592321.76159644,Asset,retailco,RetailCo,2025-01
1100,Accounts Receivable,30843882.65275951,0.0,30843882.65275951,Asset,retailco,RetailCo,2025-01
1150,Allowance for Doubtful Accounts,0.0,329813.50270032237,-329813.50270032237,Asset,retailco,RetailCo,2025-01
1200,Inventory - Raw Materials,23406731.91952846,0.0,23406731.91952846,Asset,retailco,RetailCo,2025-01
1210,Inventory - Work in Process,16440600.918074243,0.0,16440600.918074243,Asset,retailco,RetailCo,2025-01
1220,Inventory - Finished Goods,24606693.072561815,0.0,24606693.072561815,Asset,retailco,RetailCo,2025-01
1300,Prepaid Expenses,7265296.465509292,0.0,7265296.465509292,Asset,retailco,RetailCo,2025-01
1400,"Property, Plant & Equipment",80000000.0,0.0,80000000.0,Asset,retailco,RetailCo,2025-01
1450,Accumulated Depreciation,0.0,30000000.0,-30000000.0,Asset,retailco,RetailCo,2025-01
1500,Intangible Assets,60000000.0,0.0,60000000.0,Asset,retailco,RetailCo,2025-01
1550,Accumulated Amortization,0.0,16000000.0,-16000000.0,Asset,retailco,RetailCo,2025-01
2000,Accounts Payable,0.0,8659357.54670761,-8659357.54670761,Liability,retailco,RetailCo,2025-01
2100,Accrued Expenses,0.0,4718296.186880295,-4718296.186880295,Liability,retailco,RetailCo,2025-01
2150,Accrued Payroll,0.0,2032859.6063338944,-2032859.6063338944,Liability,retailco,RetailCo,2025-01
2200,Deferred Revenue,0.0,0.0,0.0,Liability,retailco,RetailCo,2025-01
2300,Current Portion of Long-term Debt,0.0,345234912.54735744,-345234912.54735744,Liability,retailco,RetailCo,2025-01
2400,Long-term Debt,0.0,214186988.04297405,-214186988.04297405,Liability,retailco,RetailCo,2025-01
3000,Common Stock,0.0,100000000.0,-100000000.0,Equity,retailco,RetailCo,2025-01
3100,Retained Earnings,0.0,-440077616.69413114,440077616.69413114,Equity,retailco,RetailCo,2025-01
4000,Store Revenue,0.0,16490675.13501612,-16490675.13501612,Revenue,retailco,RetailCo,2025-01
5000,Cost of Goods Sold - Materials,3408072.861236665,0.0,3408072.861236665,COGS,retailco,RetailCo,2025-01
5100,Cost of Goods Sold - Labor,3408072.861236665,0.0,3408072.861236665,COGS,retailco,RetailCo,2025-01
5200,Cost of Goods Sold - Overhead,3408072.861236665,0.0,3408072.861236665,COGS,retailco,RetailCo,2025-01
6000,Salaries and Wages,2193259.792957144,0.0,2193259.792957144,Operating Expense,retailco,RetailCo,2025-01
6100,Employee Benefits,501316.52410449006,0.0,501316.52410449006,Operating Expense,retailco,RetailCo,2025-01
6200,Rent,313322.8275653063,0.0,313322.8275653063,Operating Expense,retailco,RetailCo,2025-01
6300,Utilities,282736.0828023233,0.0,282736.0828023233,Operating Expense,retailco,RetailCo,2025-01
6400,Insurance,280250.14681821904,0.0,280250.14681821904,Operating Expense,retailco,RetailCo,2025-01
6500,Professional Fees,264676.4256503044,0.0,264676.4256503044,Operating Expense,retailco,RetailCo,2025-01
7000,Sales and Marketing,501316.52410449006,0.0,501316.52410449006,Operating Expense,retailco,RetailCo,2025-01
7100,Advertising,260692.22164616614,0.0,260692.22164616614,Operating Expense,retailco,RetailCo,2025-01
7200,Travel and Entertainment,139034.9090029504,0.0,139034.9090029504,Operating Expense,retailco,RetailCo,2025-01
8000,Research and Development,0.0,0.0,0.0,Operating Expense,retailco,RetailCo,2025-01
9000,Depreciation Expense,187993.69653918376,0.0,187993.69653918376,Operating Expense,retailco,RetailCo,2025-01
9100,Amortization Expense,187993.69653918376,0.0,187993.69653918376,Operating Expense,retailco,RetailCo,2025-01
9500,Interest Expense,82947.65236920182,0.0,82947.65236920182,Operating Expense,retailco,RetailCo,2025-01
