account_code,account_name,debit,credit,balance,account_type,company_id,company_name,period
1000,Cash and Cash Equivalents,5093967.675431317,0.0,5093967.675431317,Asset,healthservices_plus,HealthServices Plus,2026-01
1100,Accounts Receivable,5198897.464526299,0.0,5198897.464526299,Asset,healthservices_plus,HealthServices Plus,2026-01
1150,Allowance for Doubtful Accounts,0.0,54325.09883116267,-54325.09883116267,Asset,healthservices_plus,HealthServices Plus,2026-01
1300,Prepaid Expenses,1048035.3766563488,0.0,1048035.3766563488,Asset,healthservices_plus,HealthServices Plus,2026-01
1400,"Property, Plant & Equipment",14000000.0,0.0,14000000.0,Asset,healthservices_plus,HealthServices Plus,2026-01
1450,Accumulated Depreciation,0.0,5250000.0,-5250000.0,Asset,healthservices_plus,HealthServices Plus,2026-01
1500,Intangible Assets,10500000.0,0.0,10500000.0,Asset,healthservices_plus,HealthServices Plus,2026-01
1550,Accumulated Amortization,0.0,2800000.0,-2800000.0,Asset,healthservices_plus,HealthServices Plus,2026-01
2000,Accounts Payable,0.0,2162460.608771206,-2162460.608771206,Liability,healthservices_plus,HealthServices Plus,2026-01
2100,Accrued Expenses,0.0,423699.8603336218,-423699.8603336218,Liability,healthservices_plus,HealthServices Plus,2026-01
2150,Accrued Payroll,0.0,790357.0015805522,-790357.0015805522,Liability,healthservices_plus,HealthServices Plus,2026-01
2200,Deferred Revenue,0.0,0.0,0.0,Liability,healthservices_plus,HealthServices Plus,2026-01
2300,Current Portion of Long-term Debt,0.0,56239588.12652785,-56239588.12652785,Liability,healthservices_plus,HealthServices Plus,2026-01
2400,Long-term Debt,0.0,46603587.75684854,-46603587.75684854,Liability,healthservices_plus,HealthServices Plus,2026-01
3000,Common Stock,0.0,17500000.0,-17500000.0,Equity,healthservices_plus,HealthServices Plus,2026-01
3100,Retained Earnings,0.0,-96317326.46127309,96317326.46127309,Equity,healthservices_plus,HealthServices Plus,2026-01
4100,Service Revenue,0.0,2716254.9415581333,-2716254.9415581333,Revenue,healthservices_plus,HealthServices Plus,2026-01
5300,Cost of Services,1222314.72370116,0.0,1222314.72370116,COGS,healthservices_plus,HealthServices Plus,2026-01
6000,Salaries and Wages,522879.07624994067,0.0,522879.07624994067,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
6100,Employee Benefits,119515.21742855788,0.0,119515.21742855788,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
6200,Rent,74697.01089284867,0.0,74697.01089284867,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
6300,Utilities,51494.371174448876,0.0,51494.371174448876,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
6400,Insurance,40013.698525616615,0.0,40013.698525616615,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
6500,Professional Fees,29743.213715581045,0.0,29743.213715581045,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
7000,Sales and Marketing,119515.21742855788,0.0,119515.21742855788,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
7100,Advertising,36211.47822238558,0.0,36211.47822238558,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
7200,Travel and Entertainment,60226.47351333772,0.0,60226.47351333772,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
8000,Research and Development,0.0,0.0,0.0,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
9000,Depreciation Expense,44818.2065357092,0.0,44818.2065357092,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
9100,Amortization Expense,44818.2065357092,0.0,44818.2065357092,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
9500,Interest Expense,15799.522640140109,0.0,15799.522640140109,Operating Expense,healthservices_plus,HealthServices Plus,2026-01
